STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        722;18960630;    1;   3.9;   1;   0;-999;eor
        722;18960701;    1;   8.1;   1;   0;-999;eor
        722;18960702;    1;   3.0;   1;   0;-999;eor
        722;18960703;    1;  16.4;   1;   0;-999;eor
        722;18960704;    1;   7.8;   1;   0;-999;eor
        722;18960705;    1;   8.7;   1;   0;-999;eor
        722;18960706;    1;   0.0;   0;   0;-999;eor
        722;18960707;    1;   0.0;   0;   0;-999;eor
        722;18960708;    1;   0.4;   1;   0;-999;eor
        722;18960709;    1;   4.3;   1;   0;-999;eor
        722;18960710;    1;   4.6;   1;   0;-999;eor
        722;18960711;    1;   0.0;   0;   0;-999;eor
        722;18960712;    1;   0.0;   0;   0;-999;eor
        722;18960713;    1;   0.0;   0;   0;-999;eor
        722;18960714;    1;   0.0;   0;   0;-999;eor
        722;18960715;    1;   0.0;   0;   0;-999;eor
        722;18960716;    1;   0.0;   0;   0;-999;eor
        722;18960717;    1;   7.3;   1;   0;-999;eor
        722;18960718;    1;   1.4;   1;   0;-999;eor
        722;18960719;    1;   0.0;   0;   0;-999;eor
        722;18960720;    1;   0.0;   0;   0;-999;eor
        722;18960721;    1;   0.0;   0;   0;-999;eor
        722;18960722;    1;   3.4;   1;   0;-999;eor
        722;18960723;    1;   1.9;   1;   0;-999;eor
        722;18960724;    1;   3.9;   1;   0;-999;eor
        722;18960725;    1;   0.0;   0;   0;-999;eor
        722;18960726;    1;   3.6;   1;   0;-999;eor
        722;18960727;    1;   0.0;   0;   0;-999;eor
        722;18960728;    1;  38.7;   1;   0;-999;eor
        722;18960729;    1;   9.4;   1;   0;-999;eor
        722;18960730;    1;   1.1;   1;   0;-999;eor
        722;18960731;    1;   0.0;   0;   0;-999;eor
        722;18960801;    1;  21.7;   1;   0;-999;eor
        722;18960802;    1;  95.2;   1;   0;-999;eor
        722;18960803;    1;   3.1;   1;   0;-999;eor
        722;18960804;    1;   0.0;   0;   0;-999;eor
        722;18960805;    1;   0.0;   0;   0;-999;eor
        722;18960806;    1;   0.3;   1;   0;-999;eor
        722;18960807;    1;   0.0;   0;   0;-999;eor
        722;18960808;    1;   0.0;   0;   0;-999;eor
